domain,panel,series,target_call_rate,achieved_call_rate,point,ci_low,ci_high
ScreenQA,spearman,answer_loss_gap,,,0.20347348809990873,0.19167497397682431,0.21545184789090324
ScreenQA,spearman,entropy_reduction,,,0.06975817695092754,0.05269483266136305,0.08603714462447376
ScreenQA,top_one_task_gain,answer_loss_gap,,,0.017297222796499208,0.014079395284008053,0.020435310074837246
ScreenQA,top_one_task_gain,entropy_reduction,,,-0.0017917441940596788,-0.00495342217262511,0.0015129920008576843
ScreenQA,top_one_task_gain,random_expected,,,-0.00928605885190545,-0.011807976848470502,-0.006753010672975461
ScreenQA,sparse_policy_utility,answer_loss_gap,0.005,0.005030666391013714,0.0007132520157122183,0.00025777467410174746,0.0012003448695663667
ScreenQA,sparse_policy_utility,answer_loss_gap,0.01,0.009992419543794363,0.0015677761698022188,0.0008860574926584284,0.0022787259955406223
ScreenQA,sparse_policy_utility,answer_loss_gap,0.02,0.019984839087588725,0.003066639101371373,0.0021098840066138156,0.004051521841025266
ScreenQA,sparse_policy_utility,answer_loss_gap,0.05,0.05003101095720488,0.004734339466611536,0.0034263073453061482,0.006010480425554837
ScreenQA,sparse_policy_utility,answer_loss_gap,0.1,0.0999931086761767,0.0063710288746468184,0.004616473419227811,0.008120386064019542
ScreenQA,sparse_policy_utility,answer_loss_gap,0.25,0.25001722830955825,0.005830059954517261,0.0033737974065811463,0.008356724387744237
ScreenQA,sparse_policy_utility,answer_loss_gap,0.5,0.5000344566191165,-0.003638618978705813,-0.006444915474379855,-0.0008572382507042641
ScreenQA,sparse_policy_utility,answer_loss_gap,1.0,1.0,-0.032702777203500795,-0.03592060471599193,-0.02956468992516274
ScreenQA,sparse_policy_utility,entropy_reduction,0.005,0.005030666391013714,0.00016194610984770165,-0.00023593455879833484,0.0006096914576720455
ScreenQA,sparse_policy_utility,entropy_reduction,0.01,0.009992419543794363,-0.00022396802425746003,-0.0008885081975475288,0.0004618607392097378
ScreenQA,sparse_policy_utility,entropy_reduction,0.02,0.019984839087588725,-0.0005857625249810494,-0.0015645075916933886,0.0003401530017058877
ScreenQA,sparse_policy_utility,entropy_reduction,0.05,0.05003101095720488,-0.002294810833161051,-0.003950636003968887,-0.0006466176252794846
ScreenQA,sparse_policy_utility,entropy_reduction,0.1,0.0999931086761767,-0.005619874577906418,-0.007940114953924117,-0.0033070767552253193
ScreenQA,sparse_policy_utility,entropy_reduction,0.25,0.25001722830955825,-0.012087381986079528,-0.014894011776455215,-0.009429204299314799
ScreenQA,sparse_policy_utility,entropy_reduction,0.5,0.5000344566191165,-0.02472606987802357,-0.02760497077313813,-0.021870947602514405
ScreenQA,sparse_policy_utility,entropy_reduction,1.0,1.0,-0.05179174419405968,-0.0549534221726251,-0.04848700799914232
DocVQA,spearman,answer_loss_gap,,,0.24342778411276136,0.2299463539845906,0.25684052157134507
DocVQA,spearman,entropy_reduction,,,0.1318461165040824,0.11531728574794772,0.14853595428690175
DocVQA,top_one_task_gain,answer_loss_gap,,,0.019106274819348353,0.016435227254759998,0.02191321951225286
DocVQA,top_one_task_gain,entropy_reduction,,,0.006476531019393449,0.0036432283761961043,0.009483219450931732
DocVQA,top_one_task_gain,random_expected,,,-0.005328006711852205,-0.007256264982121739,-0.003360855936069795
DocVQA,sparse_policy_utility,answer_loss_gap,0.005,0.005007363770250369,0.0029031717451918006,0.0020690798259311483,0.003761461507580112
DocVQA,sparse_policy_utility,answer_loss_gap,0.01,0.010014727540500737,0.004842973894570727,0.003795402438049666,0.005968308438397532
DocVQA,sparse_policy_utility,answer_loss_gap,0.02,0.020029455081001474,0.007080426827534561,0.005733355853159723,0.008573325196614606
DocVQA,sparse_policy_utility,answer_loss_gap,0.05,0.05,0.011139890742434135,0.009322474317176617,0.013085068366114139
DocVQA,sparse_policy_utility,answer_loss_gap,0.1,0.1,0.012256062422301841,0.010240758961001694,0.01433904451301642
DocVQA,sparse_policy_utility,answer_loss_gap,0.25,0.25,0.0077226767682087505,0.005470030113391134,0.010178614538617743
DocVQA,sparse_policy_utility,answer_loss_gap,0.5,0.5,-0.004363117377797952,-0.006793273309407375,-0.0017430951738668119
DocVQA,sparse_policy_utility,answer_loss_gap,1.0,1.0,-0.030893725180651654,-0.033564772745239994,-0.028086780487747143
DocVQA,sparse_policy_utility,entropy_reduction,0.005,0.005007363770250369,0.00208157432003778,0.0013283580504364254,0.002875799027209632
DocVQA,sparse_policy_utility,entropy_reduction,0.01,0.010014727540500737,0.0034287408808163725,0.0023742724321627047,0.004567416532163256
DocVQA,sparse_policy_utility,entropy_reduction,0.02,0.020029455081001474,0.004562810458293459,0.003163042239225971,0.005950267744602725
DocVQA,sparse_policy_utility,entropy_reduction,0.05,0.05,0.003669536021448287,0.0017908542982143854,0.005644451755572372
DocVQA,sparse_policy_utility,entropy_reduction,0.1,0.1,0.002679513781656164,0.00038521571680931357,0.004994287030162896
DocVQA,sparse_policy_utility,entropy_reduction,0.25,0.25,-0.004934790647030469,-0.007570837445900113,-0.002290097486554861
DocVQA,sparse_policy_utility,entropy_reduction,0.5,0.5,-0.017309541652452805,-0.020032533912654752,-0.014645401120598159
DocVQA,sparse_policy_utility,entropy_reduction,1.0,1.0,-0.043523468980606564,-0.046356771623803895,-0.040516780549068265
